SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	February 27, 2024	February 26, 2024	February 23, 2024	February 22, 2024	February 21, 2024
Chinese yuan		0.1045900000	0.1046820000	0.1046720000	0.1049230000
Euro		0.8170050000	0.8163230000	0.8160870000	0.8150620000
Japanese yen		0.0050087200		0.0050034600	0.0050253800
U.K. pound		0.9557190000	0.9554540000	0.9542210000	0.9513210000
U.S. dollar		0.7528610000	0.7534830000	0.7525700000	0.7540590000
Algerian dinar		0.0055982900	0.0056043700	0.0056037800	0.0056125500
Australian dollar		0.4936510000	0.4951890000	0.4936110000	0.4952660000
Botswana pula		0.0545071000	0.0547029000	0.0550129000	0.0551217000
Brazilian real		0.1511370000	0.1511650000	0.1523020000	0.1529620000
Brunei dollar		0.5598310000	0.5611280000	0.5601150000	0.5614740000
Canadian dollar		0.5570560000	0.5583840000	0.5577070000	0.5580660000
Chilean peso		0.0007652890	0.0007745750	0.0007778340	0.0007824790
Czech koruna		0.0322066000	0.0322084000	0.0322245000	0.0321149000
Danish krone		0.1096030000	0.1095080000	0.1094840000	0.1093380000
Indian rupee		0.0090831300	0.0090905400	0.0090754200	0.0090976400
Israeli New Shekel		0.2063200000	0.2072290000	0.2066360000	0.2049630000
Korean won		0.0005663590	0.0005661030	0.0005637230	0.0005636140
Kuwaiti dinar				2.4465900000	2.4514300000
Malaysian ringgit		0.1576180000	0.1577310000	0.1570310000	0.1573580000
Mauritian rupee		0.0163731000	0.0164180000		0.0164067000
Mexican peso		0.0439601000	0.0439964000	0.0439560000	0.0441996000
New Zealand dollar		0.4641760000	0.4665570000	0.4663680000	0.4652540000
Norwegian krone		0.0714886000	0.0716763000	0.0718636000	0.0719097000
Omani rial				1.9572700000	1.9611400000
Peruvian sol			0.1985990000	0.1978890000	0.1990130000
Philippine peso		0.0134796000	0.0134823000	0.0134383000	0.0134473000
Polish zloty		0.1892750000	0.1881360000	0.1890690000	0.1886750000
Qatari riyal					
Russian ruble		0.0081274300		0.0081138000	0.0081574000
Saudi Arabian riyal		0.2007630000		0.2006850000	0.2010820000
Singapore dollar		0.5598310000	0.5611280000	0.5601150000	0.5614740000
South African rand		0.0389617000	0.0391517000	0.0399157000	0.0399233000
Swedish krona		0.0731594000	0.0731835000	0.0730346000	0.0727245000
Swiss franc		0.8557180000	0.8560360000	0.8572390000	0.8565930000
Thai baht			0.0209289000	0.0209694000	0.0209414000
Trinidadian dollar		0.1112380000	0.1113480000	0.1111870000	0.1115470000
U.A.E. dirham		0.2050000000		0.2049200000	0.2053260000
Uruguayan peso		0.0192311000	0.0192889000	0.0192557000	0.0192869000

Currency units per SDR(3)

Currency	February 27, 2024	February 26, 2024	February 23, 2024	February 22, 2024	February 21, 2024
Chinese yuan		9.561140	9.552740	9.553650	9.530800
Euro		1.223980	1.225010	1.225360	1.226900
Japanese yen		199.652000		199.862000	198.990000
U.K. pound		1.046330	1.046620	1.047980	1.051170
U.S. dollar		1.328270	1.327170	1.328780	1.326160
Algerian dinar		178.626000	178.432000	178.451000	178.172000
Australian dollar		2.025720	2.019430	2.025890	2.019120
Botswana pula		18.346200	18.280600	18.177600	18.141700
Brazilian real		6.616510	6.615290	6.565900	6.537570
Brunei dollar		1.786250	1.782120	1.785350	1.781030
Canadian dollar		1.795150	1.790880	1.793060	1.791900
Chilean peso		1,306.700000	1,291.030000	1,285.620000	1,277.990000
Czech koruna		31.049500	31.047800	31.032300	31.138200
Danish krone		9.123840	9.131750	9.133750	9.145950
Indian rupee		110.094000	110.004000	110.188000	109.919000
Israeli New Shekel		4.846840	4.825580	4.839430	4.878930
Korean won		1,765.660000	1,766.460000	1,773.920000	1,774.260000
Kuwaiti dinar				0.408732	0.407925
Malaysian ringgit		6.344450	6.339910	6.368170	6.354940
Mauritian rupee		61.075800	60.908800		60.950700
Mexican peso		22.747900	22.729100	22.750000	22.624600
New Zealand dollar		2.154360	2.143360	2.144230	2.149360
Norwegian krone		13.988200	13.951600	13.915300	13.906300
Omani rial				0.510916	0.509908
Peruvian sol			5.035270	5.053340	5.024800
Philippine peso		74.186200	74.171300	74.414200	74.364400
Polish zloty		5.283320	5.315300	5.289070	5.300120
Qatari riyal					
Russian ruble		123.040000		123.247000	122.588000
Saudi Arabian riyal		4.981000		4.982930	4.973100
Singapore dollar		1.786250	1.782120	1.785350	1.781030
South African rand		25.666200	25.541700	25.052800	25.048000
Swedish krona		13.668800	13.664300	13.692100	13.750500
Swiss franc		1.168610	1.168180	1.166540	1.167420
Thai baht			47.780800	47.688500	47.752300
Trinidadian dollar		8.989730	8.980850	8.993860	8.964830
U.A.E. dirham		4.878050		4.879950	4.870300
Uruguayan peso		51.999100	51.843300	51.932700	51.848700


(1) Exchange rates are published daily except on IMF holidays or, whenever the IMF is closed for business, or on an ad-hoc basis to facilitate unscheduled IMF operations.

(2) The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.The value in terms of the SDR of each of the other currencies shown above is derived from that currency's representative exchange rate against the U.S. dollar as reported by the issuing central bank and the SDR value of the U.S. dollar, except for the Iranian rial and the Libyan dinar, the values of which are officially expressed directly in terms of domestic currency units per SDR. All figures are rounded to six significant digits. See Representative Exchange Rates for Selected Currencies".

(3) The value in terms of each national currency of the SDR is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.
